No.,Market,Current Segment,Segment on First Quotation,Company,ISIN,Symbol,Country,Type,Supersector,Sector,Subsector,Prospectus,First Trading Day,Underwriter,Issuing Method,Bookbuilding Range,Subscription Price,First Price,Placement Volume incl. GS in euro,Placement Volume of executed GS in euro,Placement Volume (Shares),Placement Volume (Shares) of New Shares,Placement Volume (Shares) of Existing Shares,Greenshoe in Shares,Greenshoe in Executed Shares,Capital Stock / Shares on 1st Quotation,Total Market Cap on 1st Quotation in euro,Market Cap (Free Float) on 1st Quotation in euro
1245,Regulated Market,Prime Standard,Prime Standard (Amtlicher Markt),ZEAL Network SE,DE0007847147,TIM,Germany,NI,,Retail,"Retail, Internet",yes,12/10/2005,Globale Koordinatoren & Joint Bookrunner: <br>  Deutsche Bank AG; Morgan Stanley Bank AG (Lead Manager: Deutsche Bank AG; Morgan Stanley Bank AG),Bookbuilding Procedure,16.50 - 20.50,20.5,20,"85,834,443.00","2,255,000.00","4,187,046","2,182,046","2,005,000","610,000","110,000","8,872,319","177,446,380.00","81,625,334.80"
1246,Open Market,Scale,Prime Standard,Ernst Russ AG,DE000A161077,HXCI,Germany,NI,,Financial Services,Diversified Financial,yes,6/10/2005,Joint Global Coordinators & Joint Bookrunners:<br>  Credit Suisse First Boston; Dresdner Kleinwort Wasserstein  <br><br>  Co-Managers:<br>  HSH Nordbank AG; HVB Corporates & Markets; Sal. Oppenheim jr. & Cie. Kommanditgesellschaft auf Aktien  <br><br>  Selling Agent:<br>  Bremer Landesbank (Lead Manager: Credit Suisse First Boston; Dresdner Kleinwort Wasserstein),Bookbuilding Procedure,19.00 - 23.00,20.5,20.5,"278,086,948.50",,"13,565,217","4,000,000","9,565,217","2,034,782",,"24,000,000","492,000,000.00","278,078,400.00"
1247,Regulated Market,Delisted,Prime Standard (Amtlicher Markt),Global PVQ SE,DE0005558662,QCE,Germany,NI,Industrials,Industrial,Renewable Energies,yes,5/10/2005,Joint Global Coordinators & Bookrunners:<br>  Citigroup Global Markets Limited; Dresdner Kleinwort Wasserstein  <br><br>  Co-Lead Manager:<br>  Landesbank Baden-Württemberg (Lead Manager: Citigroup Global Markets Limited; Dresdner Kleinwort Wasserstein),Bookbuilding Procedure,35.00 - 38.00,38,49,"313,243,956.00","40,857,866.00","8,243,262","6,656,552","1,586,710","1,075,207","1,075,207","36,913,604","1,808,766,596.00","403,897,580.89"
1248,Official Market,Delisted,Prime Standard,Bosch Solar Energy AG,DE0006627532,ES6,Germany,NI,,Industrial,Renewable Energies,yes,30/09/2005,Sole Global Coordinator & Sole Bookrunner:<br>  Deutsche Bank AG<br><br>    Co-Managers:<br>  HVB Corporates & Markets; Die Sparkasse Bremen AG; Sal. Oppenheim jr. & Cie. Kommanditgesellschaft auf Aktien   (Lead Manager: Deutsche Bank AG),Bookbuilding Procedure,36.00 - 42.00,42,65,"153,683,712.00","18,442,032.00","3,659,136","2,955,790","703,346","439,096","439,096","9,800,000","637,000,000.00","237,855,800.00"
1249,Official Market,Delisted,Prime Standard,INTERHYP AG,DE0005121701,IYP,Germany,NI,,Financial Services,Diversified Financial,yes,29/09/2005,Global Coordinator / Sole Bookrunner:<br>  Deutsche Bank AG<br><br>    Co-Lead Manager:<br>  Sal. Oppenheim jr. & Cie. Kommanditgesellschaft auf Aktien  <br><br>  Selling Agent:<br>  ING-DiBa AG (Lead Manager: Deutsche Bank AG),Bookbuilding Procedure,36.00 - 42.00,42,51,"103,393,080.00","13,486,116.00","2,461,740","700,000","1,761,740","321,098","321,098","6,498,350","331,415,850.00","125,838,598.25"
1250,Regulated Market,Delisted,First Quotation Board,CENTROSOLAR AG,DE000A1TNS13,C3O,Germany,LI,,,,no,29/09/2005,,,,,16,,,,,,,,"5,730,000","91,680,000.00",
1251,Open Market,Delisted,First Quotation Board,3S Industries AG,CH0042821089,S3VN,Switzerland,LI,,,,no,19/09/2005,,,,,2,,,,,,,,"5,540,000","11,080,000.00",
1252,Open Market,Delisted,Quotation Board,EOP Biodiesel AG,DE000A0DP374,E2B,Germany,PP,,Industrial,Renewable Energies,no,14/09/2005,,,,7.6,9.75,"25,612,000.00",,"3,370,000",,,,,"5,050,300","49,240,425.00",
1253,Regulated Market,General Standard,First Quotation Board,OPENLiMiT Holding AG,CH0022237009,O5H,Switzerland,LI,,,,no,29/08/2005,,,,,2.31,,,,,,,,"14,400,000","33,264,000.00",
1254,Open Market,Delisted,First Quotation Board,Solar Millennium AG,DE0007218406,S2M,Germany,LI,,,,no,27/07/2005,,,,,10.05,,,,,,,,"9,915,495","99,650,725.00",
1255,Open Market,Delisted,First Quotation Board,net mobile AG,DE0008137852,N1M,Germany,LI,,Telecommunication,Telecommunication Services,no,12/7/2005,,,,8.5,10.8,"18,700,000.00",,"2,200,000",,,,,"4,324,000","46,699,200.00",
1256,Open Market,Basic Board,Quotation Board,ifa systems AG,DE0007830788,IS8,Germany,NI,,Industrial,Industrial Products & Services,yes,11/7/2005,Concord Effekten AG,Bookbuilding Procedure,27.50 - 30.50,30.5,33.5,"4,880,000.00","305,000.00","160,000","27,000","133,000","10,000","10,000","690,000","23,115,000.00",
1257,Regulated Market,Prime Standard,Kein / None (Transfer Geregelter Markt),KWS SAAT SE & Co. KGaA,DE0007074007,KWS,Germany,DL,,Industrial,Industrial Products & Services,yes,4/7/2005,,,,,,,,,,,,,,,
1258,Open Market,Delisted,First Quotation Board,DLO Deutsche Logistik Outsourcing AG,DE000A0DNBF2,DL2,Germany,LI,,,,no,29/06/2005,,,,,4,,,,,,,,"1,209,999","4,839,996.00",
1259,Regulated Market,Prime Standard,Open Market (Transfer in Geregelter Markt),Gigaset AG,DE0005156004,AQU,Germany,TR,,Technology,Communications Technology,yes,28/06/2005,,,,,,,,,,,,,,,
1260,Open Market,Delisted,Quotation Board,Franconofurt AG,DE0006372626,FFM,Germany,NI,,,,yes,21/06/2005,,,5.50 - 6.50,6.5,7.05,"6,500,000.00",,"1,000,000",,,,,"4,000,000","28,200,000.00",
1261,Open Market,Delisted,First Quotation Board,Xerius BioScience AG,DE0005188304,OJX,Germany,LI,,,,no,10/6/2005,,,,,1.5,,,,,,,,"350,000","525,000.00",
1262,Open Market,Scale,First Quotation Board,RCM Beteiligungs AG,DE000A1RFMY4,RCM,Germany,LI,,Financial Services,Real Estate,no,10/6/2005,,,,,1.4,,,,,,,,"7,500,000","10,500,000.00",
1263,Regulated Market,Prime Standard,Prime Standard,MTU Aero Engines AG,DE000A0D9PT0,MTX,Germany,NI,Industrials,Industrial,Heavy Machinery,yes,6/6/2005,"Joint Bookrunners:<br>  Deutsche Bank; Goldman, Sachs & Co. oHG; UBS Investment Bank  <br><br>  Co-Lead Managers:<br>  Cazenove; Commerzbank Corporates & Markets; HVB Corporates & Markets  <br><br>  Co-Managers:<br>  BNP PARIBAS; Sal. Oppenheim jr. & Cie. Kommanditgesellschaft auf Aktien (Lead Manager: Deutsche Bank; Goldman, Sachs & Co. oHG; UBS Investment Bank)",Bookbuilding Procedure,19.00 - 22.00,21,21.89,"748,650,000.00","97,650,000.00","35,650,000","15,000,000","20,650,000","4,650,000","4,650,000","55,000,000","1,203,950,000.00","780,378,500.00"
1264,Open Market,Basic Board,Quotation Board,Coreo AG,DE000A0B9VV6,NNS,Germany,LI,,Industrial,"Industrial, Diversified",no,6/6/2005,,,,,4.3,,,,,,,,"5,000,000","21,500,000.00",
1265,Open Market,Basic Board,First Quotation Board,Medical Columbus AG,DE0006618309,MCE,Germany,LI,,Software,IT-Services,no,3/6/2005,,,,,18.25,,,,,,,,"1,795,656","32,770,722.00",
1266,Open Market,Delisted,First Quotation Board,Studio Babelsberg AG,DE000A0D9UR4,BG1,Germany,LI,,,,no,29/04/2005,,,,,1.65,,,,,,,,"15,000,000","24,750,000.00",
1267,Regulated Market,Delisted,Prime Standard (Amtlicher Markt),Conergy AG,DE0006040025,CGY,Germany,NI,Industrials,Industrial,Renewable Energies,yes,17/03/2005,"Sole Global Coordinator & Joint Lead Manager & Joint Bookrunner:<br>  Deutsche Bank  <br><br>  Joint Lead Manager & Joint Bookrunner:<br>  Commerzbank Corporates & Markets  <br><br>  Senior Co-Manager:<br>  HSBC Trinkaus & Burkhardt KGaA <br><br>  Co-Manager:<br>  Berenberg Bank, Joh. Berenberg, Gossler & Co. KG  (Lead Manager: Commerzbank Corporates & Markets; Deutsche Bank)",Bookbuilding Procedure,48.00 - 54.00,54,71,"243,000,000.00","29,700,000.00","4,500,000","1,300,050","3,199,950","550,000","550,000","10,000,000","710,000,000.00","319,500,000.00"
1268,Regulated Market,Delisted,Prime Standard (Amtlicher Markt),Sky Deutschland AG,DE000PREM111,PRE,Germany,NI,Consumer Services,Media,Broadcasting,yes,9/3/2005,Globale Koordinatoren und Bookrunner: <br>  Credit Suisse First Boston; HVB Corporates & Markets; Morgan Stanley <br><br>    Co-Lead Managers: <br>  Bayerische Landesbank; DZ Bank; Lehman Brothers; UBS Investment Bank  <br><br>  Co-Managers: <br>  Cazenove; Dresdner Kleinwort Wasserstein; WestLB AG  <br><br>  Selling Agents für Österreich: <br>  Bank Austria Creditanstalt; BAWAG P.S.K. Gruppe (Lead Manager: Credit Suisse First Boston; HVB Corporates & Markets; Morgan Stanley),Bookbuilding Procedure,24.00 - 28.00,28,30.5,"1,178,520,000.00","153,720,000.00","42,090,000","12,000,000","30,090,000","5,490,000","5,490,000","82,000,000","2,501,000,000.00","1,283,745,000.00"
1269,Regulated Market,Prime Standard,Prime Standard (Amtlicher Markt),PAION AG,DE000A0B65S3,PA8,Germany,NI,,Pharma & Healthcare,Biotechnology,yes,11/2/2005,Sole Bookrunner:<br>  UBS Investment Bank  <br><br>  Co-Lead Manager:<br>  Dresdner Kleinwort Wasserstein   <br><br>  Co-Manager:<br>  Landesbank Baden-Württemberg (Lead Manager: UBS Investment Bank),Bookbuilding Procedure,8.00 - 14.00,8,8,"46,000,000.00","6,000,000.00","5,750,000","5,750,000",,"750,000","750,000","15,005,552","120,044,416.00","46,000,000.00"
1270,Regulated Market,Prime Standard,Prime Standard (Amtlicher Markt),LANXESS AG,DE0005470405,LXS,Germany,LI,Basic Materials,Chemicals,"Chemicals, Speciality",yes,31/01/2005,Deutsche Bank AG; Morgan Stanley Bank AG (Lead Manager: Deutsche Bank AG; Morgan Stanley Bank AG),,,,15.75,,,"73,034,192",,,,,"73,034,192","1,150,288,524.00","1,150,288,524.00"
1271,Regulated Market,General Standard,General Standard,Klassik Radio AG,DE0007857476,KA8,Germany,LI,,Media,Broadcasting,yes,15/12/2004,ING-BHF Bank Aktiengesellschaft (Lead Manager: ING-BHF Bank Aktiengesellschaft),Fixed Price Procedure,,6,6.05,"1,468,080.00",,"244,680",,,,,"4,500,000","27,225,000.00","1,480,314.00"
1272,Open Market,Scale,Prime Standard,Heliad Equity Partners GmbH & Co. KGaA ,DE0006047293,HPB,Germany,LI,,Financial Services,Diversified Financial,yes,12/11/2004,"Bankhaus Bauer AG, Stuttgart (Lead Manager: Bankhaus Bauer AG, Stuttgart)",,,,0.4,,,"8,596,432",,,,,"8,596,432","3,438,572.80","3,438,572.80"
1273,Regulated Market,Delisted,Open Market (Transfer Geregelter Markt),SOLON SE,DE0007471195,SOO1,Germany,TR,,Industrial,Renewable Energies,yes,8/11/2004,MWB Wertpapierhandelshaus AG,,,,,,,,,,,,,,
1274,Regulated Market,Prime Standard,Prime Standard (Geregelter Markt),InTiCa Systems AG,DE0005874846,IS7,Germany,NI,Information Technology,Technology,Electronic Components & Hardware,yes,8/11/2004,Concord Effekten AG (Lead Manager: Concord Effekten AG),Bookbuilding Procedure,16.50 - 20.00,18,18.4,"10,710,000.00","1,080,000.00","595,000","535,000","60,000","60,000","60,000","1,300,000","23,920,000.00","10,948,000.00"
1275,Regulated Market,Prime Standard,Prime Standard (Amtlicher Markt),Epigenomics AG,DE000A0BVT96,ECX,Germany,NI,,Pharma & Healthcare,Biotechnology,yes,19/07/2004,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Lehman Brothers, Morgan Stanley  (Lead Manager: Morgan Stanley )",Bookbuilding Procedure,9.00 - 11.00,9,9,"41,596,641.00",,"4,621,849","4,621,849",,"693,277",,"15,974,752","143,772,768.00","41,596,641.00"
1276,Regulated Market,Delisted,Prime Standard (Amtlicher Markt),Deutsche Postbank AG,DE0008001009,DPB,Germany,NI,FIRE,Banks,Credit Banks,yes,23/06/2004,"Deutsche Bank AG; Morgan Stanley Bank AG;  <br> Citigroup Global Markets Limited; Dresdner Bank AG; J. P. Morgan Securities Ltd.; UBS Limited; ABN Amro Rothschild; Bayerische Hypo- und Vereinsbank AG; Bayerische Landesbank; Commerzbank AG; Crédit Agricole Chevreux S.A.; DZ Bank AG; Fox-Pitt, Kelton Ltd.; Goldman Sachs International; HSBC Trinkaus & Burkhardt KGaA; Landesbank Baden-Würtemberg; Merrill Lynch International; Sal. Oppenheim jr. & Cie. KGaA; WestLB AG (Lead Manager: Deutsche Bank AG, Morgan Stanley Bank AG)",Bookbuilding Procedure,28.00 - 32.00,28.5,29,"1,553,249,972.00","128,249,972.00","54,499,999",,"54,499,999","4,499,999","4,499,999","164,000,000","4,756,000,000.00","1,580,418,800.00"
1277,Regulated Market,Delisted,Open Market (Amtlicher Markt),CCR Logistics Systems AG,DE0007627200,CCR,Germany,TR,,Industrial,Industrial Products & Services,yes,10/6/2004, (Lead Manager: Gebhard & Co. Wertpapierhandelsbank AG),,,,,,,,,,,,,,
1278,Regulated Market,General Standard,Prime Standard (Amtlicher Markt),Diebold Nixdorf Aktiengesellschaft,DE000A0CAYB2,WIN,Germany,NI,Information Technology,Software,IT-Services,yes,19/05/2004,"Cazenove & Co Ltd.; Commerzbank AG; Deutsche Bank AG; Dresdner Bank AG; DZ Bank AG; Goldman, Sachs & Co. oHG; UBS Ltd.; WestLB AG (Lead Manager: Deutsche Bank AG; Goldman, Sachs & Co. oHG)",Bookbuilding Procedure,41.00 - 50.00,41,41,"362,153,041.00","34,937,371.00","8,833,001","2,481,374","6,351,627","1,197,131","852,131","16,542,494","678,242,254.00","362,153,041.00"
1279,Regulated Market,Delisted,General Standard,MIFA Mitteldeutsche Fahrradwerke AG,DE000A0B95Y8,FW1,Germany,NI,,Consumer,Leisure,yes,17/05/2004,"Landesbank Hessen-Thüringen Girozentrale, Merck Finck & Co. Privatbankiers München (Lead Manager: Merck Finck & Co. Privatbankiers München)",Fixed Price Procedure,,9.25,9.3,"13,875,000.00",,"1,500,000","1,000,000","500,000",,,"6,000,000","55,800,000.00","13,950,000.00"
1280,Regulated Market,Delisted,Prime Standard (Geregelter Markt),Constantin Medien AG,DE0009147207,EV4,Germany,LI,,Media,Movies & Entertainment,yes,27/04/2004,WestLB AG (Lead Manager: WestLB AG),,,,3.7,,,"65,617,462",,,,,"65,617,462","242,784,609.00","242,784,609.00"
1281,Official Market,Delisted,Prime Standard,Hypo Real Estate Holding AG,DE0008027707,HRX,Germany,LI,FIRE,Financial Services,Real Estate,yes,6/10/2003,Bayerische Hypo- und Vereinsbank AG,,,,11.25,,,"130,433,775",,,,,"130,433,775","1,467,379,968.75","1,467,379,968.75"
1282,Regulated Market,General Standard,Geregelter Markt,tmc Content Group AG,CH0016458363,ERO1,Switzerland,NI,Consumer Goods,Media,Movies & Entertainment,yes,8/11/2002,"vem AG Virtuelles Emissionshaus, München",Fixed Price Procedure,,30,34.75,"3,000,000.00",,"100,000",,,,,,,
1283,Regulated Market,General Standard,Geregelter Markt,SOLAR-FABRIK AG,DE0006614712,SFX,Germany,NI,,Industrial,Renewable Energies,yes,17/07/2002,LB Baden Württemberg (Lead Manager: Consors Capital Bank AG ),Bookbuilding Procedure,8.00 - 9.50,8,8.15,"12,000,000.00",,"1,500,000",,,"150,000",,,,
1284,Regulated Market,Delisted,Amtlicher Markt,AIRE GmbH & Co. KGaA,DE0006344211,ARE,Germany,NI,,Financial Services,Real Estate,yes,8/7/2002,"AIG Private Bank AG, Bankhaus Ellwanger & Geiger KG, Deutsche Postbank AG, Norddeutsche Landesbank Girozentrale, Sal. Oppenheim jr. & Cie. (Lead Manager: Landesbank Baden-Württemberg)",Fixed Price Procedure,,29,29.25,"106,995,848.00",,"3,689,512",,,,,,,
1285,Regulated Market,Prime Standard,Amtlicher Markt,Aareal Bank AG,DE0005408116,ARL,Germany,LI,FIRE,Banks,Mortgage Banks,yes,17/06/2002,Deutsche Bank AG,,,,17.95,,,,,,,,,,
1286,Open Market,Delisted,Prime Standard,TIG Themis Industries Group GmbH & Co. KGaA,DE0007857575,VCO,Germany,NI,,Financial Services,Private Equity & Venture Capital,yes,10/6/2002,"DAB bank AG, Entrium Direct Bankers AG, More-IPO, VEM AG Virtuelles Emissionshaus (Lead Manager: K/L/M Equity AG Wertpapierbank)",Fixed Price Procedure,1.08 - 1.10,1.1,1.08,"6,059,095.90",,"5,508,269",,,,,,,
1287,Regulated Market,General Standard,,UNIPROF Real Estate Holding AG,DE0005509129,UPR,Germany,NI,,Financial Services,Real Estate,yes,28/03/2002,K/L/M Equity AG Wertpapierhandelsbank,Fixed Price Procedure,,6,5.75,"4,020,000.00",,"670,000",,,,,,,
1288,Regulated Market,Delisted,Neuer Markt,REpower Systems SE,DE0006177033,RPW,Germany,NI,,Industrial,Renewable Energies,yes,26/03/2002,"Commerzbank AG, Vereins- und Westbank AG (Lead Manager: Schroder Salomon Smith Barney)",Bookbuilding Procedure,38.00 - 45.00,41,42,"94,300,000.00",,"2,300,000",,,"300,000","300,000",,,
1289,Regulated Market,General Standard,,B.A.U.M. AG ,DE000A0AYX23,BM9A,Germany,NI,,Insurance,Industrial Products & Services,yes,21/12/2001,DAB bank AG (Lead Manager: vem AG Virtuelles Emissionshaus),Fixed Price Procedure,,3.15,0.5,"9,450,000.00",,"3,000,000",,,,,,,
1290,Regulated Market,Delisted,Amtlicher Markt,Vivacon AG,DE0006048911,VIA,Germany,NI,,Financial Services,Real Estate,yes,21/12/2001,"Bankhaus Ellwanger & Geiger, DAB bank AG, Trigon WP-Bank AG   (Lead Manager: vem AG Virtuelles Emissionshaus)",Fixed Price Procedure,,12.4,12.4,"18,600,000.00",,"1,500,000",,,,,,,
1291,Regulated Market,Delisted,,Scholz & Friends AG,DE0006972805,SFA,Germany,LI,,,,yes,26/11/2001,HSBC Trinkaus & Burkhardt KGaA,,,,4.1,,,,,,,,,,
1292,Regulated Market,Prime Standard,SMAX (Geregelter Markt),STRATEC SE,DE0007289001,SBS,Germany,LI,,Pharma & Healthcare,Medical Technology,yes,23/11/2001,Baden-Württembergische Bank AG,,,,8.1,,,,,,,,,,
1293,Official Market,Delisted,,EIC Electricity S.A.,CH0007162958,,Switzerland,LI,,,,yes,4/9/2001,A&A Actienbank AG,,,,66,,,,,,,,,,
1294,Open Market,Basic Board,SMAX,SM Wirtschaftsberatungs AG,DE0007238701,SMW,Germany,LI,,Financial Services,Diversified Financial,yes,15/08/2001,BW-Bank Stuttgart,,,,12.75,,,,,,,,,,
1295,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),init innovation in traffic systems SE,DE0005759807,IXX,Germany,NI,,Technology,Electronic Components & Hardware,yes,24/07/2001,Baden-Württembergische Bank AG (Lead Manager: Consors Capital Bank),Bookbuilding Procedure,5.10 - 6.40,5.1,5.1,"11,730,000.00",,"2,300,000",,,"200,000",,,,
1296,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),Rofin-Sinar Technologies Inc.,US7750431022,RSI,United States,LI,,Industrial,Advanced Industrial Equipment,yes,2/7/2001,Hamburgische Landesbank,,,,16.2,,,,,,,,,,
1297,Open Market,Delisted,Neuer Markt (Geregelter Markt),Softship AG,DE0005758304,SFO,Germany,NI,,Software,Software,yes,22/06/2001,"AHAG Wertpapierhandelsbank AG, DAB Direkt Anlage Bank AG, KLM Equity AG, Raiffeisen Zentralbank Österreich   (Lead Manager: VEM Virtuelles Emissionshaus AG )",Bookbuilding Procedure,5.25 - 6.25,4,4.3,"3,000,000.00",,"750,000",,,,,,,
1298,Regulated Market,Delisted,SMAX (Amtlicher Markt),ESSANELLE HAIR GROUP AG,DE0006610314,EHX,Germany,NI,,Retail,"Retail, Specialty",yes,22/06/2001,"Consors, SchmidtBank KGaA, Vereins- und Westbank AG (Lead Manager: Stadtsparkasse Köln)",Bookbuilding Procedure,7.00 - 9.00,7,6,"14,480,130.00",,"2,068,590",,,"300,000",,,,
1299,Regulated Market,Delisted,Neuer Markt,W.O.M. WORLD OF MEDICINE AG,DE0006637390,WOM,Germany,NI,,Pharma & Healthcare,Medical Technology,yes,13/06/2001,"Concord Effekten AG, Deutsche Apotheker- und Ärztebank eG (Lead Manager: DZ Bank AG)",Bookbuilding Procedure,9.00 - 11.00,11,10.9,"24,200,000.00",,"2,200,000",,,"330,000",,,,
1300,Regulated Market,Prime Standard,Amtlicher Markt,Fraport AG,DE0005773303,FRA,Germany,NI,Industrials,Transportation & Logistics,Transportation Services,yes,11/6/2001,"Baden-Württembergische Bank AG, BHF Bank AG, Commerzbank AG, Deutsche Postbank AG, DG Bank AG, Dresdner Bank AG, Frankfurter Sparkasse, HSBC Investment Bank plc, J.P. Morgan Securities Ltd. , Landesbank Hessen-Thüringen Girozentrale, Morgan Stanley Bank AG, Salomon Brothers International Limited, Société Générale S.A. (Lead Manager: Dresdner Kleinwort Wasserstein; MORGAN STANLEY DEAN WITTER)",Bookbuilding Procedure,32.00 - 37.00,35,35.4,"913,675,000.00",,"26,105,000",,,"3,405,000","3,405,000",,,
1301,Regulated Market,Delisted,Neuer Markt (Amtlicher Markt),PULSION Medical Systems SE,DE0005487904,PUS,Germany,NI,,Pharma & Healthcare,Medical Technology,yes,8/6/2001,"Bankgesellschaft Berlin, Concord Effekten AG (Lead Manager: Commerzbank AG)",Bookbuilding Procedure,7.00 - 10.00,7,7.05,"17,640,000.00",,"2,520,000",,,"700,000","520,000",,,
1302,Regulated Market,General Standard,Neuer Markt (Geregelter Markt),Müller - Die lila Logistik AG,DE0006214687,MLL,Germany,NI,,Transportation & Logistics,Logistics,yes,30/05/2001,"Equinet Securities AG, Landesbank Rheinland -Pfalz Girozentrale (Lead Manager: Landesbank Baden-Württemberg)",Bookbuilding Procedure,6.50 - 7.50,7,7,"11,900,000.00",,"1,700,000",,,"300,000",,,,
1303,Regulated Market,Delisted,Neuer Markt,Novavisions AG,DE0006572217,MONT,Germany,LI,,Software,IT-Services,yes,15/05/2001,Concord Effekten AG,,,,6.2,,,,,,,,,,
1304,Regulated Market,Delisted,Neuer Markt (Geregelter Markt),farmatic biotech energy AG,DE0006051923,FBE,Germany,NI,,Industrial,Renewable Energies,yes,9/4/2001,"Dresdner Kleinwort Wasserstein, Flensburger Sparkasse, HWAG Hanseatisches Wertpapierhandelshaus (Lead Manager: West LB Panmure)",Bookbuilding Procedure,17.00 - 21.00,17,17,"46,750,000.00",,"2,750,000",,,"375,000","375,000",,,
1305,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),Nordex SE,DE0005873574,NDX,Germany,NI,Industrials,Industrial,Renewable Energies,yes,2/4/2001,"Bayerische Hypo- und Vereinsbank AG, BHF Bank AG, Commerzbank AG (Lead Manager: Dresdner Kleinwort Wasserstein)",Bookbuilding Procedure,9.00 - 11.50,9,9,"296,100,000.00",,"32,900,000",,,"4,700,000","1,600,000",,,
1306,Open Market,Delisted,SMAX,TRIPLAN AG,DE0007499303,TPN,Germany,NI,,Construction,Construction & Engineering,yes,29/03/2001,Norddeutsche Landesbank Girozentrale,Bookbuilding Procedure,6.00 - 7.00,6,6.3,"11,891,952.00",,"1,981,992",,,"300,000",,,,
1307,Regulated Market,Delisted,SMAX,agiplan TechnoSoft AG,DE0005870356,AGI,Germany,NI,,Software,IT-Services,yes,20/03/2001,Sparkasse Dortmund (Lead Manager: Kling Jelko Wertpapierhandelsbank AG),Bookbuilding Procedure,5.50 - 7.50,5.5,6.3,"9,900,000.00",,"1,800,000",,,"200,000",,,,
1308,Regulated Market,General Standard,Neuer Markt (Geregelter Markt),LS telcom AG,DE0005754402,LSX,Germany,NI,,Telecommunication,Telecommunication Services,yes,15/03/2001,Norddeutsche Landesbank Girozentrale (Lead Manager: GZ-Bank),Bookbuilding Procedure,11.50 - 14.50,12.5,9.85,"21,250,000.00",,"1,700,000",,,"170,000",,,,
1309,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),OHB SE,DE0005936124,OHB,Germany,NI,,Technology,Communications Technology,yes,13/03/2001,"Delbrück & Co. Privatbankiers, Sparkasse Bremen (Lead Manager: Sal. Oppenheim jr. & Cie. KGaA)",Bookbuilding Procedure,8.00 - 10.50,10.5,10,"24,150,000.00",,"2,300,000",,,"300,000",,,,
1310,Regulated Market,General Standard,Neuer Markt,co.don AG,DE0005173603,CNW,Germany,NI,,Pharma & Healthcare,Biotechnology,yes,14/02/2001,Bankgesellschaft Berlin (Lead Manager: Baden-Württembergische Bank AG),Bookbuilding Procedure,13.00 - 15.00,15,16,"22,500,000.00",,"1,500,000",,,"200,000","200,000",,,
1311,Regulated Market,Delisted,Neuer Markt (Geregelter Markt),sunways AG,DE0007332207,SWW,Germany,NI,,Industrial,Renewable Energies,yes,9/2/2001,"Equinet Securities AG, SchmidtBank KGaA (Lead Manager: Landesbank Baden-Württemberg)",Bookbuilding Procedure,5.50 - 7.00,7,13,"22,532,832.00",,"3,218,976",,,"330,000","330,000",,,
1312,Official Market,Delisted,,DGAG Deutsche Grundvermögen AG,DE0007659500,BLAG,Germany,LI,,,,yes,9/2/2001,,,,,18.35,,,,,,,,,,
1313,Regulated Market,Prime Standard,Amtlicher Markt,Deutsche Börse AG,DE0005810055,DB1,Germany,NI,FIRE,Financial Services,Securities Brokers,yes,5/2/2001,"B. Metzler seel. Sohn & co. KGaA, Bayerische Hypo- und Vereinsbank AG, BHF Bank AG, Commerzbank AG, DZ Bank AG, Dresdner Kleinwort Wasserstein, HSBC Trinkaus & Burkhardt KGaA, Lehman Brothers Bankhaus AG, Westdeutsche Landesbank Girozentrale (Lead Manager: Deutsche Bank AG)",Bookbuilding Procedure,285.00 - 335.00,335,362,"1,072,050,585.00",,"3,200,151",,,"390,000","390,000",,,
1314,Regulated Market,Prime Standard,Neuer Markt (Geregelter Markt),Dr. Hönle AG,DE0005157101,HNL,Germany,NI,,Industrial,Advanced Industrial Equipment,yes,24/01/2001,"Bayerische Landesbank Girozentrale, Consors, M.M. Warburg & Co. KGaA, SchmidtBank KGaA (Lead Manager: Bayerische Landesbank Girozentrale)",Bookbuilding Procedure,9.00 - 12.00,12,16.5,"24,000,000.00",,"2,000,000",,,"200,000","200,000",,,
1315,Regulated Market,Prime Standard,Amtlicher Markt,Deutsche EuroShop AG,DE0007480204,DEQ,Germany,NI,FIRE,Financial Services,Real Estate,yes,2/1/2001,"Landesbank Schleswig Holstein Girozentrale, Advance Bank AG, net.IPO AG, Merck Finck & Co., Veritas SG Investment Trust, Nassauische Sparkasse, Bank Julius Bär AG, Schröder Münchmeyer Hengst AG, VEM Virtuelles Emissionshaus AG (Lead Manager: Deutsche Bank)",Fixed Price Procedure,38.40 - 38.40,38.4,38.4,"600,000,000.00",,"15,625,000",,,,,,,
1316,Regulated Market,Delisted,Neuer Markt,FinecoGroup S.p.A.,IT0001464921,BIP,Italy,LI,,,,yes,27/12/2000,Dresdner Bank AG,,,,7.1,,,,,,,,,,
1317,Open Market,Delisted,SMAX,PA Power Automation AG,DE0006924400,PPA,Germany,LI,,Technology,Electronic Components & Hardware,yes,19/12/2000,Baader Wertpapierhandelsbank AG,,,,27.75,,,,,,,,,,
1318,Regulated Market,Prime Standard,Amtlicher Markt,TAG Immobilien AG,DE0008303504,TEG,Germany,LI,,Financial Services,Real Estate,yes,14/12/2000,HypoVereinsbank AG,,,,62,,,,,,,,,,
